,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,att84,att85,att86,att87,att88,att89,att90,att91,att92,att93,att94,att95,att96,att97,att98,att99,att100,att101,att102,att103,att104,att105,att106,att107,att108,att109,att110,att111,att112,att113,att114,att115,att116,att117,att118,att119,att120,att121,att122,att123,att124,att125,att126,att127,att128,att129,att130,att131,att132,att133,att134,att135,att136,att137,att138,att139,att140
988,-0.092921894,-1.5184646,-2.308741,-3.4684036,-3.9311906,-3.296658,-2.0613956,-1.4224113,-1.1381249,-0.2305437,0.1371913,-0.005656036,0.000661076,0.00777552,-0.057927092,-0.06556307,0.035824004,0.000851122,0.093282281,0.079616691,-0.045406815,-0.068669382,-0.036834533,0.08036904,0.17397142,0.16844707,0.078927352,0.24751809,0.2615558,0.089415572,0.095119704,0.047848983,0.16264813,0.27379463,0.15236663,0.22680603,0.32153534,0.24564703,0.28740031,0.2535393,0.31665391,0.32715929,0.25839658,0.41062558,0.52454661,0.56696522,0.53658005,0.59471203,0.65789278,0.58792434,0.53637601,0.5692103,0.63192206,0.46468632,0.47307402,0.56848129,0.50129923,0.52667766,0.47395212,0.45357748,0.38296514,0.39993036,0.47814996,0.51276228,0.50149519,0.67069614,0.76763341,0.5088723,0.528805,0.63940324,0.70069548,0.71685669,0.68917757,0.78514413,0.81122353,0.90720433,0.81643074,0.78422124,0.88991018,0.93423407,0.89679736,0.6946145,0.7206499,0.64671702,0.69625929,0.74030425,0.659576,0.47594486,0.34971335,0.37159888,0.34185645,0.31321417,0.31185691,0.20088364,0.26371725,0.38550851,0.45201808,0.47623716,0.62488015,0.79825072,1.1421441,1.4768448,1.6834038,1.8619652,1.7958292,1.6629628,1.2412285,1.1139624,0.84184857,0.50089508,0.18790844,-0.39675448,-0.7948597,-1.0221283,-1.0669413,-1.0872426,-1.1992777,-1.1968898,-1.1468278,-1.2215717,-1.138946,-0.92645811,-0.93271162,-1.0388055,-0.97290853,-1.0614623,-1.2091852,-1.2672951,-1.1096747,-0.60334738,0.35761537,0.4289727,-0.25415282,-0.83095782,-1.4795922,-1.8374168,-2.2754256,-2.4004342,-1.71086,-1.7137761
1610,-0.086140191,-2.3415141,-3.8171481,-4.2448752,-3.707223,-2.8390301,-1.8765441,-1.6345715,-1.2438668,-0.63172471,-0.49213185,-0.60578151,-0.52636082,-0.44846566,-0.51197729,-0.4342613,-0.44698815,-0.53661842,-0.45272243,-0.47752605,-0.47926718,-0.52820134,-0.53983804,-0.5889917,-0.61391164,-0.56717776,-0.64517975,-0.73379639,-0.72397028,-0.82184537,-0.74634938,-0.79153671,-0.91373039,-0.90010257,-0.91526166,-0.89954872,-0.91699217,-0.82757453,-0.84212473,-0.69650669,-0.6606494,-0.64735037,-0.42091339,-0.40487937,-0.29942826,-0.20668836,-0.22528157,-0.11812813,-0.019602708,-0.020975078,-0.092616202,-0.020683415,0.033242081,0.016456557,0.056278671,0.072528564,0.095655844,0.10014513,0.1141557,0.11221076,0.12406591,0.10434304,-0.006805277,0.11850366,0.19018905,0.1727238,0.24339757,0.35931479,0.29853968,0.42538642,0.50791884,0.4496169,0.41775444,0.45396503,0.47402062,0.50588848,0.43740666,0.5063015,0.54776848,0.48223542,0.43622786,0.44611177,0.43750875,0.39259242,0.37610558,0.21807961,0.25349069,0.34133881,0.37727023,0.40048771,0.3548839,0.34374663,0.35109643,0.35461544,0.29438227,0.39479444,0.5907226,0.6425748,0.96001777,0.9638167,1.1558015,1.525005,1.7147742,1.9521511,1.8711993,1.8300712,1.7154066,1.4660017,1.2640667,0.98739773,0.62317836,0.33758575,0.06112089,-0.13424268,-0.079715665,-0.092279763,-0.076552225,-0.12359512,-0.10068175,-0.2193489,-0.21921636,-0.17358737,-0.14711137,-0.067133595,-0.21359734,-0.09841935,-0.12643936,0.010998208,0.32749397,0.95420628,1.2681265,1.2437982,1.7004322,1.9741027,1.7251656,1.2955327,1.3994756,1.6942425,1.2791133,-0.66302513
4083,1.2058062,-0.085064458,-1.8997083,-3.2179461,-4.0985883,-4.0188911,-2.8214546,-1.9853713,-1.633507,-0.73292101,-0.20011702,-0.28925444,-0.25063988,-0.26221205,-0.32113089,-0.2370161,-0.33244225,-0.29813022,-0.26149741,-0.2823794,-0.37372132,-0.54603743,-0.4965999,-0.43387499,-0.50867466,-0.51195367,-0.61128867,-0.52270145,-0.77575347,-0.79073199,-0.8857519,-0.92672581,-0.92280353,-1.0833612,-1.1689136,-1.2140834,-1.3010176,-1.2207039,-1.2117135,-1.126951,-1.2465653,-1.0456747,-0.97948802,-0.78513074,-0.66740773,-0.51683052,-0.41603656,-0.43019498,0.018286821,-0.16919913,-0.055875844,-0.1147198,-0.033100519,0.03395934,-0.035081807,-0.03276391,-6.16e-05,0.12991117,0.11694361,0.18909197,0.15995533,0.23134262,0.16640146,0.21087438,0.31146472,0.49184714,0.46890886,0.48627041,0.61671562,0.60637517,0.72881667,0.76449755,0.74791359,0.66939064,0.73484503,0.69625369,0.70561987,0.605044,0.84044706,0.70521955,0.62584358,0.7030657,0.47567556,0.53390169,0.43703751,0.44274208,0.46907961,0.53446452,0.33154154,0.41338373,0.42842524,0.32060561,0.33205325,0.27222333,0.37778685,0.40946905,0.22115991,0.23441193,0.23905188,0.3489912,0.40821869,0.70595417,1.0395644,1.121404,1.2114949,1.4926805,1.8161682,2.1014132,2.0464649,2.0266119,1.7580187,1.6035215,1.3304005,1.1275301,0.65733624,0.15380395,-0.24444464,-0.41156113,-0.35057351,-0.33064433,-0.33515945,-0.348782,-0.21915176,-0.32040211,-0.20201589,-0.23869062,-0.28544312,-0.24636552,-0.13317748,-0.21242049,0.060045506,0.83242055,1.406726,1.1674732,1.2762455,1.3340187,1.2166882,0.5592314,0.10851654,0.91353055
437,0.074273575,-1.5392232,-3.204752,-4.0181648,-4.0128174,-3.754755,-3.3462869,-2.3172098,-1.5925311,-1.3911963,-0.892685,-0.43251721,-0.34547724,-0.39204132,-0.34986055,-0.22484152,-0.32377797,-0.36492412,-0.31386444,-0.33398717,-0.27739512,-0.29572407,-0.33902031,-0.29626613,-0.36297935,-0.43804095,-0.45018777,-0.41743085,-0.48012515,-0.538447,-0.5698651,-0.63300054,-0.58264289,-0.61151034,-0.66323739,-0.59618413,-0.56062074,-0.5581505,-0.52943997,-0.48757497,-0.49772303,-0.44553362,-0.36839496,-0.26609948,-0.18455344,-0.13324754,-0.13639082,-0.052262626,0.030048923,0.092531571,0.091748493,0.051480207,0.076392212,0.065572897,0.060099139,0.049263679,0.055553929,0.11332472,0.092607324,0.061557627,0.002463266,0.003205272,0.17546203,0.14401902,0.15931217,0.25313486,0.13352399,0.2689712,0.24436111,0.25134982,0.37589426,0.36769251,0.36875843,0.39135515,0.49214311,0.58974635,0.54500257,0.53352803,0.58662004,0.58026884,0.4367553,0.53041916,0.52980813,0.51994827,0.41595188,0.47911547,0.53284092,0.38602233,0.45141221,0.43088309,0.32774179,0.41801881,0.44682234,0.54184014,0.76432159,0.72808708,0.80098737,0.98912947,1.286539,1.6745613,1.9788238,2.0243621,2.1418791,1.8927559,1.6820251,1.5715259,1.361021,0.9222284,0.58316052,0.16507906,0.00080498,-0.14736682,-0.2817126,-0.25550076,-0.29058647,-0.30012934,-0.30586841,-0.28218668,-0.18943434,-0.25228272,-0.20432459,-0.198865,-0.22455926,-0.26419209,-0.21318626,-0.1790169,-0.062255983,0.12022058,0.54904318,0.89009118,1.0228448,1.22307,1.3563442,1.3343628,1.0313021,0.76427009,0.88109601,1.2333191,0.79562119,-1.0232929
4779,-0.86243396,-3.1134784,-3.6232048,-4.043059,-3.8009201,-2.9260296,-1.6336417,-1.4469979,-1.1162556,-0.38280069,-0.32290612,-0.25748467,-0.25288197,-0.31404656,-0.298467,-0.27114549,-0.30173605,-0.3216583,-0.23821531,-0.31106381,-0.48768308,-0.45290374,-0.42958768,-0.48603045,-0.57523539,-0.53471977,-0.7119071,-0.82602772,-0.83683045,-0.76144892,-0.76553227,-0.75237687,-0.78846675,-0.86197224,-0.97884142,-0.94519224,-0.8674695,-0.85316205,-0.85889024,-0.78644382,-0.84579464,-0.70039088,-0.50196345,-0.45840383,-0.36989104,-0.41209824,-0.35075262,-0.20793989,-0.30086736,-0.16848451,-0.081382533,-0.10915571,0.020725223,-0.032894327,-0.05769029,-0.010830481,-0.009519643,0.040600998,-0.002744487,0.028513333,0.06653188,0.088522372,0.13707835,0.18690314,0.081125877,0.12817254,0.29549552,0.29767811,0.33569019,0.36839173,0.43285792,0.52848573,0.37443155,0.48340619,0.54862436,0.47953997,0.51394984,0.39190991,0.47166101,0.56450277,0.50051553,0.50838046,0.47314485,0.43764974,0.33570438,0.42044928,0.47687109,0.35805636,0.38531636,0.41675646,0.36985722,0.34725904,0.35878862,0.39216468,0.2907081,0.34922845,0.41154512,0.52918138,0.72637622,0.90001052,1.0203076,1.1193925,1.3327741,1.5778656,1.9307444,1.9102714,1.8467367,1.8066279,1.4881027,1.4633834,1.1694353,0.73782228,0.53480839,0.046388708,-0.13990918,-0.19799571,-0.23651692,-0.20070131,-0.18599821,-0.14161319,-0.29880307,-0.2454246,-0.2024408,-0.15084419,-0.095671336,-0.18216127,-0.11357217,-0.10790035,-0.05878124,0.089192932,0.39553556,0.94193709,1.0920214,1.1783825,1.5817807,1.7244864,1.6233155,1.3417024,1.7261276,2.0463811
3803,0.56564886,-0.77062441,-1.8845819,-3.4296299,-4.3816686,-4.2175252,-3.0863318,-1.8282856,-1.6855391,-1.2292046,-0.50453926,-0.33156724,-0.37822552,-0.41254074,-0.39250157,-0.3562022,-0.390931,-0.40278762,-0.4363069,-0.42984683,-0.5387639,-0.48587313,-0.54384019,-0.4148036,-0.52454156,-0.46187731,-0.54149729,-0.60957022,-0.63267636,-0.58906106,-0.66703246,-0.7746963,-0.73387374,-0.73387189,-0.79188513,-0.87987893,-0.79625287,-0.68109687,-0.74687214,-0.79147646,-0.64027228,-0.68881249,-0.55500552,-0.44693334,-0.38922419,-0.26192669,-0.20850349,-0.12177407,-0.064727404,0.025676348,0.042025066,0.066615432,0.053386164,0.16899035,0.049042125,0.13144278,0.072572486,0.11648418,0.18280438,0.080949899,0.19242293,0.23425933,0.34165649,0.18895764,0.1857828,0.33341724,0.43913091,0.44591835,0.45416407,0.57059287,0.47535697,0.54853996,0.57462646,0.754215,0.7186891,0.77704961,0.67381723,0.55653024,0.63134731,0.65326971,0.54125481,0.69254897,0.63982059,0.62955073,0.6738364,0.49545032,0.54684573,0.48810607,0.5231096,0.48585376,0.42870045,0.50161883,0.42773222,0.46478768,0.49780576,0.49670409,0.62516584,0.81274589,1.0486758,1.27217,1.4269961,1.6270569,1.9433514,2.2053203,2.1739943,2.1676041,1.9797218,1.7577152,1.536939,1.2543964,0.9313215,0.51884872,0.13896934,-0.2023889,-0.25742576,-0.34467444,-0.29352176,-0.35110539,-0.37906875,-0.45091767,-0.36352206,-0.39640256,-0.38753254,-0.41018265,-0.43290211,-0.37475596,-0.40676445,-0.36250573,-0.1568347,0.23534574,1.0253445,1.3134869,0.96992525,0.60586722,0.14438602,-0.31749354,-0.27810358,0.18193546,1.1238619,0.17130959
1757,-0.074986621,-2.7816929,-4.0943835,-4.4180317,-4.0480125,-2.9932085,-1.8800108,-1.6265366,-1.0989286,-0.27786393,-0.28653471,-0.31798068,-0.241485,-0.2497686,-0.3065517,-0.33237251,-0.27936356,-0.2915878,-0.28773295,-0.29764367,-0.32384521,-0.36702074,-0.43992646,-0.45152309,-0.41473855,-0.50515955,-0.61426237,-0.47569371,-0.56211833,-0.7239936,-0.75185285,-0.74984279,-0.93192379,-0.90310859,-0.88188325,-0.94085338,-0.91889291,-0.932497,-0.9124345,-0.868774,-0.80144817,-0.89253091,-0.75348593,-0.49828202,-0.55007775,-0.41477931,-0.28307784,-0.22359622,-0.25364766,-0.10744805,-0.013869904,-0.063068756,-0.061275389,0.033158237,-0.032462923,-0.054352362,0.087628074,0.12984661,0.16260926,0.1806252,0.22660384,0.17858974,0.25590868,0.28308683,0.31503643,0.35723951,0.36698587,0.42536568,0.40968758,0.47572364,0.49679044,0.47166363,0.63001654,0.66049123,0.65691136,0.63897621,0.68073366,0.60808621,0.62050806,0.56843762,0.62846144,0.57344032,0.59110689,0.51593564,0.47988112,0.46087926,0.43980984,0.37014733,0.38692993,0.3804802,0.42867208,0.43062077,0.33349339,0.42977693,0.46171151,0.38273275,0.44772094,0.46648677,0.55637663,0.83095919,1.1302041,1.3459359,1.4525151,1.5711386,1.7814522,1.7256634,1.6322145,1.752033,1.5209037,1.347556,1.1003582,0.7957424,0.45313112,0.13610086,-0.047538043,-0.26141889,-0.17722498,-0.21427719,-0.19788415,-0.18918396,-0.21094821,-0.15627649,-0.26714255,-0.11685684,-0.11371333,-0.19773595,-0.19971611,-0.20539089,0.019486437,0.065196999,0.56327916,1.2105659,1.4238393,1.5391165,1.5948332,1.2046227,0.79660137,0.28878381,0.95021456,0.49591025
3833,0.97758305,-1.7125685,-3.1665085,-4.1795214,-3.9221757,-3.4794908,-2.0865043,-0.7667871,-0.56998387,0.023495186,0.67760283,0.86190881,0.85976613,0.77624445,0.75953024,0.76026975,0.77008105,0.80341576,0.61338401,0.65749888,0.75669448,0.67628117,0.60525641,0.50124391,0.46612644,0.43474303,0.3979581,0.39395681,0.3483043,0.26007652,0.17031392,0.046188238,-0.077420755,-0.119747,-0.15440982,-0.026696562,-0.16870769,-0.29712256,-0.095279056,-0.17833716,-0.076098324,-0.053700291,-0.034958651,-0.006224626,0.11875319,0.21159191,0.23481492,0.244554,0.35790244,0.4177894,0.37633975,0.32080205,0.39874821,0.29679733,0.34278374,0.23960004,0.31031116,0.25890393,0.30403026,0.3974915,0.21934006,0.16361966,0.17151563,0.2473182,0.23517077,0.29097854,0.32163049,0.32709324,0.35275126,0.4245619,0.45505781,0.40498466,0.48614224,0.51229691,0.51108102,0.64408606,0.63624561,0.5662951,0.49865301,0.44742128,0.48884813,0.4964805,0.42652994,0.37330107,0.23666926,0.25791337,0.28530802,0.39271658,0.26274619,0.27987209,0.24524377,0.17775506,0.26124434,0.41321528,0.61249523,0.75490734,0.7821527,0.97296428,1.1631026,1.4665702,1.7064534,1.7075838,1.4890164,1.3800938,1.3782308,1.0527186,0.85143915,0.46424731,0.18067138,-0.25222872,-0.76600248,-0.93898283,-1.0258292,-1.1431785,-1.1670526,-1.117761,-1.1691042,-1.2425404,-1.3013531,-1.2608294,-1.2111956,-1.2947217,-1.3234826,-1.1952979,-1.3547441,-1.2701921,-1.2020153,-0.82358408,-0.28064267,0.047109828,-0.037225371,0.10666468,0.20849335,0.12938392,0.076765481,-0.15785225,0.017825092,-0.062288807,-0.99951525,-3.722251
4439,-0.28660609,-1.9012302,-2.8240217,-3.6603149,-4.2712661,-3.8487136,-2.718487,-1.8107064,-1.6249166,-1.0031462,-0.48911498,-0.54722601,-0.53163204,-0.63816185,-0.54119886,-0.38076446,-0.46706941,-0.39836457,-0.49445531,-0.48164127,-0.47034771,-0.54798472,-0.50927722,-0.51953137,-0.41445891,-0.49661112,-0.52344307,-0.6125959,-0.51915734,-0.39474288,-0.46150056,-0.51487519,-0.41444529,-0.3838143,-0.27506596,-0.46140626,-0.43351725,-0.43113459,-0.46320578,-0.48843145,-0.42875872,-0.36952607,-0.28542073,-0.29851174,-0.32322875,-0.19817486,-0.066275893,-5.59e-05,0.10033117,0.021123481,-0.02141084,0.044402212,0.21344627,0.21920406,0.016414869,0.088693377,0.073220384,0.097349331,0.17263471,0.18053729,0.083533377,0.13773429,0.32774726,0.1477802,0.15877287,0.30839987,0.35596182,0.46830072,0.43637081,0.55055377,0.51069776,0.51483349,0.53412983,0.66497538,0.6039488,0.66175831,0.7469038,0.72972629,0.75665278,0.73472583,0.62336571,0.54576632,0.63504339,0.64079871,0.73148524,0.68529888,0.62013676,0.64787748,0.57238509,0.48708355,0.50707956,0.40804498,0.42983566,0.48307158,0.3311836,0.51174921,0.65892115,0.67573649,0.79489789,1.0219794,1.1070714,1.2285648,1.5832492,1.9792848,2.2974449,2.1208974,2.1410257,1.9376901,1.5860295,1.5383493,1.141806,0.73705835,0.39039273,0.14056983,-0.045887309,-0.091015503,-0.098940233,-0.19931638,-0.26658769,-0.39579115,-0.1552856,-0.17245706,-0.16644187,-0.078417068,-0.063445213,-0.13147674,-0.1156741,-0.039797246,-0.032485325,0.26111831,1.1990348,1.7072331,1.1293665,0.4093687,-0.46353327,-1.1251742,-1.3401673,-1.2880456,-0.29334517,-0.49892843
4338,2.5764767,-0.14734247,-2.5652059,-3.6480437,-4.7579753,-4.1567875,-2.2104007,-1.2829229,-0.95849915,0.5272066,1.1318928,1.0159453,1.0734577,1.1283614,1.0599073,0.96688251,1.0850698,0.85138714,0.75184553,0.72750109,0.82618625,0.72463986,0.65720187,0.56580779,0.38594059,0.30844102,0.28953758,0.094045918,0.085267792,-0.019591671,-0.089978948,-0.091918402,-0.11183308,-0.28987043,-0.46038664,-0.38181011,-0.45149873,-0.38575106,-0.46241668,-0.39522087,-0.33139573,-0.29827779,-0.24998015,-0.20204086,0.027844989,0.10797275,0.28399987,0.26999283,0.33821286,0.2513565,0.35347526,0.48246825,0.46130471,0.47759542,0.42184483,0.4862601,0.37750356,0.52980737,0.4112001,0.48989944,0.41151068,0.40643849,0.47641369,0.39180721,0.42945131,0.60989406,0.41500665,0.49247328,0.54424023,0.70215647,0.83751626,0.80871414,0.81815522,0.7431803,0.83435717,0.75993814,0.75206783,0.70176519,0.84962953,0.77102244,0.7129724,0.66990985,0.62455027,0.30809703,0.44401303,0.41671373,0.25464689,0.34871612,0.32436018,0.228751,0.14334941,0.04115269,-0.065156538,-0.19786355,-0.18437435,-0.20731204,-0.25234088,-0.17572767,-0.29975843,-0.22250956,-0.35005675,-0.37485292,-0.32052758,-0.25954102,-0.087045706,0.34637531,0.83993391,0.98022777,0.70606132,0.58328379,0.37660056,0.095424627,0.026419219,0.30301277,-0.13813911,-0.40596945,-1.0126376,-1.2691302,-1.3319241,-1.3145334,-1.3140919,-1.3481295,-1.4700413,-1.3180001,-1.2154448,-1.307951,-1.4154188,-1.3900236,-1.3067986,-1.0747334,-0.61778832,0.81237951,1.276768,0.99480025,1.3404086,0.897232,0.25936896,-1.3818929,-1.0059534,-1.1301917
